SUPER_CHANNEL,SALESCHANNEL,SALESCHANNEL_DESC,raw_units,organic_units,raw_revenue,organic_revenue,active_skus,active_item_locations,active_months,recent_3m_organic_units,recent_6m_organic_units,monthly_avg_units,monthly_std_units,promo_units,promo_revenue,promo_pct_units,monthly_cv,demand_pattern,forecast_lookback_months,planning_note
American Market,MM,American Mainstream Market,9427965,6098961,145287954.25,104861491.85,72,143,40,36.0,395844.0,152474.0,132105.9,3329004,40426462.400000006,35.3,0.87,planogram-driven,3,Use recent trend plus seasonal resets and merchandising windows.
Asian Market,MM,American Mainstream Market,1917289,1917272,19474914.69,19472827.34,66,110,40,35.0,144963.0,47931.8,22714.2,17,2087.35000000149,0.0,0.47,opportunistic-spiky,3,Protect against spikes and short gaps because demand is reactive and lumpy.
Health Food,MM,American Mainstream Market,1025443,868414,2723606.13,2419585.4,59,103,36,0.0,36511.0,24122.6,22364.9,157029,304020.73,15.3,0.93,steady-distributor,6,Use smoother history because distributor demand is steadier but promo influenced.
eCom,MM,American Mainstream Market,1015351,519513,5360990.99,3213033.46,67,218,36,0.0,3667.0,14430.9,20446.2,495838,2147957.5300000003,48.8,1.42,long-tail,6,Use a longer tail because order sizes are small and evolving.
Asian Market,AM,Asian Ethnic Market,415570,415192,16972627.330000002,16960944.16,75,214,40,2252.0,38430.0,10379.8,5491.5,378,11683.170000001788,0.1,0.53,opportunistic-spiky,3,Protect against spikes and short gaps because demand is reactive and lumpy.
American Market,AM,Asian Ethnic Market,388439,388112,18556301.85,18536174.82,74,211,40,2975.0,24617.0,9702.8,3935.1,327,20127.030000001192,0.1,0.41,planogram-driven,3,Use recent trend plus seasonal resets and merchandising windows.
Health Food,AM,Asian Ethnic Market,338093,337939,12492112.91,12489056.59,74,202,40,450.0,19131.0,8448.5,4193.1,154,3056.320000000298,0.0,0.5,steady-distributor,6,Use smoother history because distributor demand is steadier but promo influenced.
Other,MM,American Mainstream Market,253144,252050,4466491.2,4335883.51,77,224,40,29.0,9187.0,6301.2,3165.9,1094,130607.69000000041,0.4,0.5,mixed,4,Use blended rules and review manually for unusual signals.
Health Food,HF,Health Food,358059,189868,12878557.33,6806062.21,47,123,36,0.0,2815.0,5274.1,4261.0,168191,6072495.12,47.0,0.81,steady-distributor,6,Use smoother history because distributor demand is steadier but promo influenced.
American Market,HF,Health Food,251576,146225,17140437.38,9836761.760000002,24,35,36,0.0,1152.0,4061.8,17528.2,105351,7303675.619999997,41.9,4.32,planogram-driven,3,Use recent trend plus seasonal resets and merchandising windows.
Other,AM,Asian Ethnic Market,99362,99362,1984511.94,1984511.94,72,173,40,65.0,4239.0,2484.0,6957.7,0,0.0,0.0,2.8,mixed,4,Use blended rules and review manually for unusual signals.
eCom,AM,Asian Ethnic Market,79363,79363,3383172.02,3383172.02,73,188,40,118.0,8259.0,1984.1,1707.9,0,0.0,0.0,0.86,long-tail,6,Use a longer tail because order sizes are small and evolving.
American Market,UNKNOWN,Unknown Channel,1290,0,233150.76,0.0,4,4,1,0.0,0.0,0.0,0.0,1290,233150.76,100.0,0.0,planogram-driven,3,Use recent trend plus seasonal resets and merchandising windows.
