ITEMNMBR,ITEMDESC,LOCNCODE,LOCATION_NAME,month,month_start,raw_units,organic_units,suppressed_units_est,cleaned_units,raw_revenue,organic_revenue,cleaned_revenue_est,promo_units,promo_revenue,likely_stockout,stockout_reason
A-61012,Wild AM GSG Instant Tea 3gx10x8,1,SF,2023-01,2023-01-01,234.0,234.0,0.0,234.0,27196.63,27196.63,27196.63,0.0,0.0,False,none
A-61012,Wild AM GSG Instant Tea 3gx10x8,1,SF,2023-02,2023-02-01,185.0,185.0,0.0,185.0,23843.75,23843.75,23843.75,0.0,0.0,False,none
A-61012,Wild AM GSG Instant Tea 3gx10x8,1,SF,2023-03,2023-03-01,535.0,535.0,0.0,535.0,29873.219999999998,29873.219999999998,29873.22,0.0,0.0,False,none
A-61012,Wild AM GSG Instant Tea 3gx10x8,1,SF,2023-04,2023-04-01,257.0,257.0,0.0,257.0,19375.64,19375.64,19375.64,0.0,0.0,False,none
A-61012,Wild AM GSG Instant Tea 3gx10x8,1,SF,2023-05,2023-05-01,385.0,385.0,0.0,385.0,22769.77,22769.77,22769.77,0.0,0.0,False,none
A-61012,Wild AM GSG Instant Tea 3gx10x8,1,SF,2023-06,2023-06-01,167.0,167.0,296.0,463.0,27412.75,27412.75,76000.62,0.0,0.0,True,deep_drop_gap
A-61012,Wild AM GSG Instant Tea 3gx10x8,1,SF,2023-07,2023-07-01,541.0,541.0,0.0,541.0,34753.96,34753.96,34753.96,0.0,0.0,False,none
A-61012,Wild AM GSG Instant Tea 3gx10x8,1,SF,2023-08,2023-08-01,964.0,964.0,0.0,964.0,44552.25,44552.25,44552.25,0.0,0.0,False,none
A-61012,Wild AM GSG Instant Tea 3gx10x8,1,SF,2023-09,2023-09-01,691.0,691.0,0.0,691.0,46177.19,46177.19,46177.19,0.0,0.0,False,none
A-61012,Wild AM GSG Instant Tea 3gx10x8,1,SF,2023-10,2023-10-01,767.0,767.0,0.0,767.0,29294.899999999998,29294.899999999998,29294.9,0.0,0.0,False,none
