month,month_start,ITEMNMBR,ITEMDESC,LOCNCODE,LOCATION_NAME,raw_units,raw_revenue,organic_units,organic_revenue,promo_units,promo_revenue,within_active_span,baseline_units,prev_raw_units,next_raw_units,est_unit_price,zero_sales_gap,deep_drop_gap,likely_stockout,stockout_reason,suppressed_units_est,cleaned_units,cleaned_revenue_est,promo_pct_units,suppressed_pct_vs_cleaned,cleaned_vs_raw_pct
2023-01,2023-01-01,A-61012,Wild AM GSG Instant Tea 3gx10x8,1,SF,234.0,27196.63,234.0,27196.63,0.0,0.0,True,360.0,0.0,185.0,116.22491452991453,False,False,False,none,0.0,234.0,27196.63,0.0,0.0,100.0
2023-02,2023-02-01,A-61012,Wild AM GSG Instant Tea 3gx10x8,1,SF,185.0,23843.75,185.0,23843.75,0.0,0.0,True,257.0,234.0,535.0,128.88513513513513,False,False,False,none,0.0,185.0,23843.75,0.0,0.0,100.0
2023-03,2023-03-01,A-61012,Wild AM GSG Instant Tea 3gx10x8,1,SF,535.0,29873.219999999998,535.0,29873.219999999998,0.0,0.0,True,245.5,185.0,257.0,55.83779439252336,False,False,False,none,0.0,535.0,29873.22,0.0,0.0,100.0
2023-04,2023-04-01,A-61012,Wild AM GSG Instant Tea 3gx10x8,1,SF,257.0,19375.64,257.0,19375.64,0.0,0.0,True,285.0,535.0,385.0,75.39159533073929,False,False,False,none,0.0,257.0,19375.64,0.0,0.0,100.0
2023-05,2023-05-01,A-61012,Wild AM GSG Instant Tea 3gx10x8,1,SF,385.0,22769.77,385.0,22769.77,0.0,0.0,True,396.0,257.0,167.0,59.14225974025974,False,False,False,none,0.0,385.0,22769.77,0.0,0.0,100.0
2023-06,2023-06-01,A-61012,Wild AM GSG Instant Tea 3gx10x8,1,SF,167.0,27412.75,167.0,27412.75,0.0,0.0,True,463.0,385.0,541.0,164.14820359281438,False,True,True,deep_drop_gap,296.0,463.0,76000.62,0.0,63.9,277.2
2023-07,2023-07-01,A-61012,Wild AM GSG Instant Tea 3gx10x8,1,SF,541.0,34753.96,541.0,34753.96,0.0,0.0,True,538.0,167.0,964.0,64.24022181146026,False,False,False,none,0.0,541.0,34753.96,0.0,0.0,100.0
2023-08,2023-08-01,A-61012,Wild AM GSG Instant Tea 3gx10x8,1,SF,964.0,44552.25,964.0,44552.25,0.0,0.0,True,616.0,541.0,691.0,46.21602697095436,False,False,False,none,0.0,964.0,44552.25,0.0,0.0,100.0
2023-09,2023-09-01,A-61012,Wild AM GSG Instant Tea 3gx10x8,1,SF,691.0,46177.19,691.0,46177.19,0.0,0.0,True,654.0,964.0,767.0,66.82661360347323,False,False,False,none,0.0,691.0,46177.19,0.0,0.0,100.0
2023-10,2023-10-01,A-61012,Wild AM GSG Instant Tea 3gx10x8,1,SF,767.0,29294.899999999998,767.0,29294.899999999998,0.0,0.0,True,582.5,691.0,395.0,38.194132985658406,False,False,False,none,0.0,767.0,29294.9,0.0,0.0,100.0
2023-11,2023-11-01,A-61012,Wild AM GSG Instant Tea 3gx10x8,1,SF,395.0,22612.32,395.0,22612.32,0.0,0.0,True,582.5,767.0,474.0,57.246379746835444,False,False,False,none,0.0,395.0,22612.32,0.0,0.0,100.0
2023-12,2023-12-01,A-61012,Wild AM GSG Instant Tea 3gx10x8,1,SF,474.0,21362.7,474.0,21362.7,0.0,0.0,True,335.5,395.0,210.0,45.06898734177215,False,False,False,none,0.0,474.0,21362.7,0.0,0.0,100.0
2024-01,2024-01-01,A-61012,Wild AM GSG Instant Tea 3gx10x8,1,SF,210.0,27823.030000000002,210.0,27823.030000000002,0.0,0.0,True,335.5,474.0,276.0,132.49061904761905,False,False,False,none,0.0,210.0,27823.03,0.0,0.0,100.0
2024-02,2024-02-01,A-61012,Wild AM GSG Instant Tea 3gx10x8,1,SF,276.0,22142.02,276.0,22142.02,0.0,0.0,True,336.0,210.0,270.0,80.22471014492754,False,False,False,none,0.0,276.0,22142.02,0.0,0.0,100.0
2024-03,2024-03-01,A-61012,Wild AM GSG Instant Tea 3gx10x8,1,SF,270.0,31223.160000000003,270.0,31223.160000000003,0.0,0.0,True,243.0,276.0,402.0,115.64133333333335,False,False,False,none,0.0,270.0,31223.16,0.0,0.0,100.0
2024-04,2024-04-01,A-61012,Wild AM GSG Instant Tea 3gx10x8,1,SF,402.0,33148.0,402.0,33148.0,0.0,0.0,True,273.0,270.0,196.0,82.45771144278606,False,False,False,none,0.0,402.0,33148.0,0.0,0.0,100.0
2024-05,2024-05-01,A-61012,Wild AM GSG Instant Tea 3gx10x8,1,SF,196.0,30894.3,196.0,30894.3,0.0,0.0,True,278.0,402.0,286.0,157.62397959183673,False,False,False,none,0.0,196.0,30894.3,0.0,0.0,100.0
2024-06,2024-06-01,A-61012,Wild AM GSG Instant Tea 3gx10x8,1,SF,286.0,42075.22,286.0,42075.22,0.0,0.0,True,210.5,196.0,179.0,147.11615384615385,False,False,False,none,0.0,286.0,42075.22,0.0,0.0,100.0
2024-07,2024-07-01,A-61012,Wild AM GSG Instant Tea 3gx10x8,1,SF,179.0,15733.439999999999,179.0,15733.439999999999,0.0,0.0,True,210.5,286.0,225.0,87.896312849162,False,False,False,none,0.0,179.0,15733.44,0.0,0.0,100.0
2024-08,2024-08-01,A-61012,Wild AM GSG Instant Tea 3gx10x8,1,SF,225.0,20316.76,225.0,20316.76,0.0,0.0,True,188.5,179.0,181.0,90.29671111111111,False,False,False,none,0.0,225.0,20316.76,0.0,0.0,100.0
2024-09,2024-09-01,A-61012,Wild AM GSG Instant Tea 3gx10x8,1,SF,181.0,18123.59,181.0,18123.59,0.0,0.0,True,210.5,225.0,196.0,100.13033149171271,False,False,False,none,0.0,181.0,18123.59,0.0,0.0,100.0
