ITEMNMBR,ITEMDESC,LOCNCODE,LOCATION_NAME,available_units,on_hand_units,forecast_units_monthly,daily_forecast_units,recent_3m_cleaned_avg,recent_12m_suppressed_units,stockout_months_last12,dominant_super_channel,channel_forecast_breakdown,lead_time_days,lead_time_source,service_z,safety_stock_units,reorder_point_units,target_inventory_units,inventory_gap_units,days_of_supply,projected_runout_date,alert_status,priority,suggested_order_date,recommended_order_units,recommended_order_units_rounded,recommended_order_cases,case_pack_units,moq_units,vendor_id,manufacturer,estimated_unit_cost,estimated_order_cost,vendor_brand,vendor_product_line,vendor_category,vendor_status,shipment_terms,planning_note,assumption_notes
F-04221,POP Ginger Chews Lemon 2 oz(24ct/cs),2,NJ,0.0,3100.0,1200.1,39.48,0.0,6310.0,4,American Market,American Market:1200.1,91.2,item_spec,1.4,3976.8,7577.2,9393.2,7577.2,0.0,2026-04-18,Order now,Critical,2026-04-18,9393.2,9394,,,,,SNA,,,,,,,,Blend recent trend with seasonal planogram behavior.,Suppressed demand uplift included; Primary vendor missing
F-04220,POP Ginger Chews Original 2 oz(24ct/cs),2,NJ,0.0,1700.0,1149.7,37.82,0.0,5704.0,4,American Market,,91.2,item_spec,1.4,4015.7,7464.7,9204.3,7464.7,0.0,2026-04-18,Order now,Critical,2026-04-18,9204.3,9205,,,,,SNA,,,,,,,,Blend recent trend with seasonal planogram behavior.,Suppressed demand uplift included; Primary vendor missing
F-04221,POP Ginger Chews Lemon 2 oz(24ct/cs),1,SF,0.0,1002.0,395.5,13.01,0.0,1914.0,3,American Market,American Market:395.5,91.2,item_spec,1.4,1167.5,2354.0,2952.5,2354.0,0.0,2026-04-18,Order now,Critical,2026-04-18,2952.5,2953,,,,,SNA,,,,,,,,Blend recent trend with seasonal planogram behavior.,Suppressed demand uplift included; Primary vendor missing
F-04220,POP Ginger Chews Original 2 oz(24ct/cs),1,SF,0.0,839.0,347.8,11.44,0.0,1338.0,2,American Market,,91.2,item_spec,1.4,1212.5,2256.0,2782.3,2256.0,0.0,2026-04-18,Order now,Critical,2026-04-18,2782.3,2783,,,,,SNA,,,,,,,,Blend recent trend with seasonal planogram behavior.,Suppressed demand uplift included; Primary vendor missing
A-61117,AM GSG Candy 1 lb / Bag,2,NJ,0.0,0.0,62.9,2.07,0.0,0.0,0,American Market,Asian Market:25.5; Health Food:18.1; American Market:15.7; eCom:3.5,114.0,po_history_item_location,1.4,193.0,428.9,534.5,428.9,0.0,2026-04-18,Order now,Critical,2026-04-18,534.5,550,25.0,22.0,,IM9GO3A,GL,46.07,25339.88,POP,Am GSG Candy,A,ACTIVE,EXW,Blend recent trend with seasonal planogram behavior.,
F-12998,Ferrero Rocher 48's Flat Gift Box,3,LA,0.0,0.0,33.8,1.11,23.3,39.0,1,Health Food,Health Food:19.9; Other:3.9; Asian Market:1.7; eCom:1.1; American Market:0.7,18.5,po_history_item_location,1.2,53.9,74.5,113.3,74.5,0.0,2026-04-18,Order now,Critical,2026-04-18,113.3,128,8.0,16.0,,DM9FE1A,Ferrero USA,3953.32,506024.96,Ferrero,Ferrero/ Kinder/Nutella,F,ACTIVE,ToDoor/Delivery,Use smoother trailing history due to distributor lag.,Suppressed demand uplift included
F-12998,Ferrero Rocher 48's Flat Gift Box,2,NJ,0.0,0.0,41.4,1.36,37.3,0.0,1,American Market,Asian Market:22.0; American Market:18.5; Health Food:0.5; Other:0.4,19.0,po_history_item_location,1.4,47.6,73.5,121.2,73.5,0.0,2026-04-18,Order now,Critical,2026-04-18,121.2,128,8.0,16.0,,DM9FE1A,Ferrero USA,3953.32,506024.96,Ferrero,Ferrero/ Kinder/Nutella,F,ACTIVE,ToDoor/Delivery,Blend recent trend with seasonal planogram behavior.,
F-12418,Ferrero Rocher 24 pcs Diamond Display(48),3,LA,0.0,0.0,8.8,0.29,0.0,174.0,3,Health Food,Health Food:8.8; Other:0.1,20.0,po_history_item_location,1.2,36.7,42.5,52.7,42.5,0.0,2026-04-18,Order now,Critical,2026-04-18,52.7,96,2.0,48.0,,DM9FE1A,Ferrero USA,368.64,35389.44,Ferrero,Ferrero/ Kinder/Nutella,F,ACTIVE,ToDoor/Delivery,Use smoother trailing history due to distributor lag.,Suppressed demand uplift included
F-12998,Ferrero Rocher 48's Flat Gift Box,1,SF,0.0,0.0,15.7,0.52,9.0,0.0,1,Asian Market,Asian Market:8.0; American Market:6.0; Health Food:0.8; eCom:0.5; Other:0.4,22.0,po_history_item_location,1.65,18.7,30.0,44.5,30.0,0.0,2026-04-18,Order now,Critical,2026-04-18,44.5,48,3.0,16.0,,DM9FE1A,Ferrero USA,3953.32,189759.36,Ferrero,Ferrero/ Kinder/Nutella,F,ACTIVE,ToDoor/Delivery,Bias upward because demand can spike opportunistically.,
F-04211,POP Ginger Chews Original 2 oz,2,NJ,3496.0,121360.0,32051.5,1054.33,0.0,0.0,0,American Market,American Market:32047.4; Other:4.2,147.5,po_history_item_location,1.4,109104.4,264617.7,325768.6,261121.7,3.3,2026-04-21,Order now,High,2026-04-18,322272.6,322344,4477.0,72.0,,IM9SI1A,SNA,18.96,6111803.41,POP,Ginger Chews,F,ACTIVE,FOB,Blend recent trend with seasonal planogram behavior.,
F-04211,POP Ginger Chews Original 2 oz,1,SF,2038.0,30910.0,8800.3,289.48,0.0,5048.0,1,American Market,American Market:7958.3; Other:0.7,125.0,po_history_item_location,1.4,6756.9,42942.4,58285.1,40904.4,7.0,2026-04-25,Order now,High,2026-04-18,56247.1,56304,782.0,72.0,,IM9SI1A,SNA,18.63,1049112.43,POP,Ginger Chews,F,ACTIVE,FOB,Blend recent trend with seasonal planogram behavior.,Suppressed demand uplift included
F-04211,POP Ginger Chews Original 2 oz,3,LA,1471.0,1831.0,1607.0,52.86,0.0,13118.0,3,American Market,American Market:1605.4; Other:1.6,148.0,po_history_item_location,1.4,33591.0,41414.6,44480.6,39943.6,27.8,2026-05-15,Order now,High,2026-04-18,43009.6,43056,598.0,72.0,,IM9SI1A,SNA,18.74,806890.97,POP,Ginger Chews,F,ACTIVE,FOB,Blend recent trend with seasonal planogram behavior.,Suppressed demand uplift included
F-04117,POP Ginger Chews Blood Orange 4 oz (12ct/cs),2,NJ,1071.0,29117.0,1580.6,51.99,0.0,0.0,0,Health Food,Health Food:702.6; Asian Market:556.5; American Market:307.6; Other:13.0; eCom:0.7,151.0,po_history_item_location,1.2,5178.5,13029.3,16044.9,11958.3,20.6,2026-05-08,Order now,High,2026-04-18,14973.9,14976,1248.0,12.0,,IM9SI1A,SNA,6.54,97913.09,POP,Ginger Chews,F,ACTIVE,FOB,Use smoother trailing history due to distributor lag.,
T-31520,Tiger Balm Ultra 10g,2,NJ,17028.0,62880.0,7293.3,239.91,0.0,0.0,0,American Market,American Market:7277.9; eCom:10.8; Other:4.5; Health Food:0.1,43.0,po_history_item_location,1.4,15987.7,26303.8,35180.5,9275.8,71.0,2026-06-27,Order now,High,2026-04-18,18152.5,50040,834.0,60.0,49992.0,LC9T12A,HPH,18.03,902221.2,Tiger Balm,Tiger Balm,T,ACTIVE,CIF,Blend recent trend with seasonal planogram behavior.,
F-04074,POP Ginger Chews Lychee 8 oz,2,NJ,15064.0,20481.0,2039.7,67.09,0.0,0.0,0,Asian Market,Asian Market:2034.5; American Market:2.8; Health Food:2.2; eCom:0.1,152.0,po_history_item_location,1.65,8321.6,18520.0,21941.9,3456.0,224.5,2026-11-28,Order now,High,2026-04-18,6877.9,6880,860.0,8.0,,IM9SI1A,SNA,7.54,51861.44,POP,Ginger Chews,F,ACTIVE,FOB,Bias upward because demand can spike opportunistically.,
T-31520,Tiger Balm Ultra 10g,1,SF,2473.0,33723.0,3044.7,100.16,0.0,7968.5,2,American Market,American Market:2421.3; Asian Market:314.0; Other:0.6,23.5,po_history_item_location,1.4,1617.6,3971.3,7476.7,1498.3,24.7,2026-05-12,Order now,High,2026-04-18,5003.7,50040,834.0,60.0,49992.0,LC9T12A,HPH,18.15,908226.0,Tiger Balm,Tiger Balm,T,ACTIVE,CIF,Blend recent trend with seasonal planogram behavior.,Suppressed demand uplift included
AC-B8BK,AM GSG Root (Mixed) 8 oz Bag,3,LA,2371.0,2739.0,727.8,23.94,0.0,1183.5,3,American Market,American Market:606.5; eCom:49.8; Asian Market:45.5; Health Food:19.5; Other:6.5,90.0,default_90d,1.4,1618.1,3773.0,4874.3,1402.0,99.0,2026-07-26,Order now,High,2026-04-18,2503.3,2520,60.0,42.0,,,POP ,,,,,,,,Blend recent trend with seasonal planogram behavior.,Lead time fallback used; Suppressed demand uplift included; Primary vendor missing
AC-B16BK,AM GSG Root (Mixed) 1 lb Bag,3,LA,3345.0,3817.0,792.9,26.08,0.0,873.0,2,Health Food,Health Food:505.8; American Market:271.9; Other:14.8; eCom:0.4,90.0,default_90d,1.2,1741.6,4089.0,5288.8,744.0,128.2,2026-08-24,Order now,High,2026-04-18,1943.8,1944,81.0,24.0,,,POP ,,,,,,,,Use smoother trailing history due to distributor lag.,Lead time fallback used; Suppressed demand uplift included; Primary vendor missing
D-15206,POP OG Oolong Tea 1.8gx100 (6ct/cs),3,LA,502.0,940.0,27.9,0.92,0.0,528.0,3,Asian Market,Asian Market:12.0; Health Food:9.9; American Market:3.1; Other:2.5; eCom:0.3,95.0,po_history_item_location,1.65,918.5,1005.5,1042.2,503.5,547.8,2027-10-17,Order now,High,2026-04-18,540.2,6000,1000.0,6.0,6000.0,IM9WU1B,WHYD,8.61,51645.0,POP,Chinese Teabags/Gift Tea in bulk,D,ACTIVE,CIF,Bias upward because demand can spike opportunistically.,Suppressed demand uplift included
AC-B4BK,AM GSG Root (Mixed) 4 oz Bag,3,LA,5244.0,6358.0,745.1,24.51,0.0,0.0,0,Health Food,Health Food:710.5; Other:17.2; American Market:16.8; eCom:0.6,90.0,default_90d,1.2,3330.2,5536.2,6663.8,292.2,213.9,2026-11-17,Order now,High,2026-04-18,1419.8,1440,24.0,60.0,,,POP ,,,,,,,,Use smoother trailing history due to distributor lag.,Lead time fallback used; Primary vendor missing
F-12418,Ferrero Rocher 24 pcs Diamond Display(48),2,NJ,11.0,11.0,43.5,1.43,42.7,158.5,4,American Market,American Market:17.3; Asian Market:7.3; Other:0.4; Health Food:0.2,25.0,po_history_item_location,1.4,31.9,67.6,117.7,56.6,7.7,2026-04-25,Order now,High,2026-04-18,106.7,144,3.0,48.0,,DM9FE1A,Ferrero USA,368.64,53084.16,Ferrero,Ferrero/ Kinder/Nutella,F,ACTIVE,ToDoor/Delivery,Blend recent trend with seasonal planogram behavior.,Suppressed demand uplift included
AC-B6SLJ,AM GSG Slices 6 oz Bag-Jumbo,3,LA,106.0,158.0,18.8,0.62,0.0,29.0,2,American Market,American Market:11.9; eCom:3.7; Asian Market:2.5; Other:0.4; Health Food:0.2,90.0,default_90d,1.4,93.5,149.1,177.5,43.1,171.6,2026-10-06,Order now,High,2026-04-18,71.5,72,6.0,12.0,,,POP ,,,,,,,,Blend recent trend with seasonal planogram behavior.,Lead time fallback used; Suppressed demand uplift included; Primary vendor missing
F-12418,Ferrero Rocher 24 pcs Diamond Display(48),1,SF,8.0,13.0,7.3,0.24,2.0,72.5,3,Asian Market,American Market:1.3; Asian Market:0.7; eCom:0.3; Health Food:0.2,35.0,po_history_item_location,1.65,41.4,49.9,56.7,41.9,33.1,2026-05-21,Order now,High,2026-04-18,48.7,96,2.0,48.0,,DM9FE1A,Ferrero USA,426.07,40902.58,Ferrero,Ferrero/ Kinder/Nutella,F,ACTIVE,ToDoor/Delivery,Bias upward because demand can spike opportunistically.,Suppressed demand uplift included
J-72402,Totole Chicken Bouillon 2.2 lbs,2,NJ,48.0,60.0,13.0,0.43,10.0,0.0,0,Asian Market,Asian Market:13.0,10.5,item_spec,1.65,59.8,64.3,76.2,16.3,112.2,2026-08-08,Order now,High,2026-04-18,28.2,2880,240.0,12.0,2880.0,DM9AM9B,TKN,82.0,236160.0,Totole,Totole,J,ACTIVE,,Bias upward because demand can spike opportunistically.,
AC-B3SLJ,AM GSG Slices 3 oz Bag-Jumbo,2,NJ,32.0,112.0,4.4,0.15,0.0,103.0,1,eCom,eCom:4.1; Other:0.4,90.0,default_90d,1.05,30.8,43.9,48.5,11.9,220.3,2026-11-24,Order now,High,2026-04-18,16.5,24,2.0,12.0,,,POP ,,,,,,,,Use longer trailing history for long-tail demand.,Lead time fallback used; Suppressed demand uplift included; Primary vendor missing
A-61280,AM GSG RT Tea 80 Bags,1,SF,0.0,0.0,0.0,0.0,0.0,19.0,5,American Market,,90.0,default_90d,1.4,0.0,0.0,0.0,0.0,,,No recent demand,Low,,0.0,0,,,,,ST,,,,,,,,Blend recent trend with seasonal planogram behavior.,Lead time fallback used; Suppressed demand uplift included; Primary vendor missing; Demand history too light for standard reorder rule
A-61280,AM GSG RT Tea 80 Bags,2,NJ,0.0,0.0,0.0,0.0,0.0,0.0,0,Other,,90.0,default_90d,1.25,0.0,0.0,0.0,0.0,,,No recent demand,Low,,0.0,0,,,,,ST,,,,,,,,Use blended defaults and review unusual items manually.,Lead time fallback used; Primary vendor missing; Demand history too light for standard reorder rule
A-61280,AM GSG RT Tea 80 Bags,3,LA,0.0,0.0,0.0,0.0,0.0,0.0,0,Other,,90.0,default_90d,1.25,0.0,0.0,0.0,0.0,,,No recent demand,Low,,0.0,0,,,,,ST,,,,,,,,Use blended defaults and review unusual items manually.,Lead time fallback used; Primary vendor missing; Demand history too light for standard reorder rule
AC-B9SL,POP AM GSG Root Slices 9 oz,1,SF,0.0,0.0,0.0,0.0,0.0,0.0,4,American Market,,90.0,default_90d,1.4,0.0,0.0,0.0,0.0,,,No recent demand,Low,,0.0,0,0.0,60.0,,,POP ,,,,,,,,Blend recent trend with seasonal planogram behavior.,Lead time fallback used; Primary vendor missing; Demand history too light for standard reorder rule
AC-B9SL,POP AM GSG Root Slices 9 oz,2,NJ,0.0,0.0,0.0,0.0,0.0,0.0,0,Other,,90.0,default_90d,1.25,0.0,0.0,0.0,0.0,,,No recent demand,Low,,0.0,0,0.0,60.0,,,POP ,,,,,,,,Use blended defaults and review unusual items manually.,Lead time fallback used; Primary vendor missing; Demand history too light for standard reorder rule
AC-B9SL,POP AM GSG Root Slices 9 oz,3,LA,0.0,0.0,0.0,0.0,0.0,0.0,0,Other,,90.0,default_90d,1.25,0.0,0.0,0.0,0.0,,,No recent demand,Low,,0.0,0,0.0,60.0,,,POP ,,,,,,,,Use blended defaults and review unusual items manually.,Lead time fallback used; Primary vendor missing; Demand history too light for standard reorder rule
