ITEMNMBR,ITEMDESC,raw_units,organic_units,suppressed_units_est,cleaned_units,raw_revenue,organic_revenue,cleaned_revenue_est,stockout_months,active_locations,promo_units,promo_revenue,promo_pct_units,suppressed_pct_vs_cleaned,cleaned_lift_vs_organic_pct
T-32202,Tiger Balm Single Patch 12ct/disp,3223370.0,2120984.0,664380.0,2785364.0,2434738.03,1634034.67,4264609.86,24,3,1102386.0,800703.3599999999,34.2,23.9,31.3
F-04211,POP Ginger Chews Original 2 oz,3517508.0,2079034.0,392602.5,2471636.5,2352957.48,1417952.55,1805706.53,17,3,1438474.0,935004.9299999999,40.9,15.9,18.9
AC-B9SL,POP AM GSG Root Slices 9 oz,705381.0,409511.0,163674.5,573185.5,43544034.86,25393111.15,33090691.98,18,2,295870.0,18150923.71,41.9,28.6,40.0
T-31520,Tiger Balm Ultra 10g,1178111.0,771702.0,96048.0,867750.0,7753529.51,6830584.95,14980848.45,15,3,406409.0,922944.5599999996,34.5,11.1,12.4
AC-B9SLE,POP AM GSG Root Slices 9 oz,96673.0,79489.0,48873.5,128362.5,5849722.94,4798044.4,7811268.26,11,1,17184.0,1051678.54,17.8,38.1,61.5
F-04070,POP Ginger Chews Original 8 oz,508574.0,508116.0,31813.5,539929.5,3897867.21,3888984.49,4223828.06,16,5,458.0,8882.71999999974,0.1,5.9,6.3
T-31510,"Tiger Balm 18g, Ultra/St",779826.0,410596.0,28316.0,438912.0,36618774.11,27763809.56,31725193.22,3,3,369230.0,8854964.55,47.3,6.5,6.9
F-04071,POP Ginger Chews Lemon 8 oz,353620.0,353416.0,27593.5,381009.5,2553992.61,2550171.63,2781275.3,15,5,204.0,3820.9799999999814,0.1,7.2,7.8
F-04114,POP Ginger Chews Mango 4 oz (12ct/cs),365026.0,314990.0,25375.5,340365.5,2890660.63,2504064.44,2870788.66,15,4,50036.0,386596.18999999994,13.7,7.5,8.1
F-04221,POP Ginger Chews Lemon 2 oz(24ct/cs),63262.0,63262.0,21964.5,85226.5,1062718.56,1062718.56,1431698.98,8,2,0.0,0.0,0.0,25.8,34.7
F-04076,POP Ginger Chews Assorted 8 oz,101091.0,100135.0,20505.0,120640.0,1289238.1199999999,1270093.67,1563703.35,21,4,956.0,19144.449999999953,0.9,17.0,20.5
F-04117,POP Ginger Chews Blood Orange 4 oz (12ct/cs),255757.0,218870.0,19991.0,238861.0,1790967.47,1542655.27,1756564.51,11,4,36887.0,248312.19999999995,14.4,8.4,9.1
F-04073,POP Ginger Chews Mango 8 oz,335101.0,334964.0,18887.0,353851.0,2341231.52,2338466.66,2478103.9699999997,13,5,137.0,2764.8599999998696,0.0,5.3,5.6
F-04220,POP Ginger Chews Original 2 oz(24ct/cs),61178.0,61178.0,17413.0,78591.0,1027748.71,1027748.71,1320300.13,7,2,0.0,0.0,0.0,22.2,28.5
AC-B4BK,AM GSG Root (Mixed) 4 oz Bag,196699.0,196699.0,14273.0,210972.0,2170215.63,2170215.63,2334158.76,11,5,0.0,0.0,0.0,6.8,7.3
AC-B8BK,AM GSG Root (Mixed) 8 oz Bag,114655.0,114580.0,12410.0,126990.0,2644523.7600000002,2643029.78,2945343.04,17,4,75.0,1493.980000000447,0.1,9.8,10.8
F-04075,POP Ginger Chews Blood Orange 8 oz,179486.0,179464.0,11097.0,190561.0,933781.39,933398.68,1004286.88,20,5,22.0,382.70999999996275,0.0,5.8,6.2
F-04074,POP Ginger Chews Lychee 8 oz,244157.0,244098.0,10000.0,254098.0,1244641.95,1243567.11,1337251.79,9,5,59.0,1074.839999999851,0.0,3.9,4.1
T-32206,Tiger Balm Patch Warm (MM),448083.0,280223.0,9818.0,290041.0,22985078.59,16595847.52,17697425.9,2,3,167860.0,6389231.07,37.5,3.4,3.5
D-15400,POP Organic Oolong Tea 1.8gx200,3381.0,3381.0,8868.0,12249.0,339120.0,339120.0,1226164.0,18,1,0.0,0.0,0.0,72.4,262.3
AC-B16BK,AM GSG Root (Mixed) 1 lb Bag,103265.0,103265.0,7631.5,110896.5,3917067.03,3917067.03,4234935.65,17,4,0.0,0.0,0.0,6.9,7.4
F-04001,POP Ginger Chews Original 1 lb Bulk,53447.0,52874.0,7508.5,60382.5,2241400.5,2214343.15,2554210.57,16,4,573.0,27057.350000000093,1.1,12.4,14.2
F-04111,POP Ginger Chews Original 4 oz (12ct/cs),978798.0,846885.0,7438.5,854323.5,9167254.15,7922086.29,8018482.54,10,4,131913.0,1245167.8600000003,13.5,0.9,0.9
D-13400,POP Organic Green Tea 1.8gx200,1901.0,1901.0,5342.5,7243.5,194294.0,194294.0,725084.0,17,1,0.0,0.0,0.0,73.8,281.0
F-04118,POP Ginger Chews Pineapple Coconut 4 oz (12ct/cs),142226.0,119629.0,5116.0,124745.0,950807.63,828686.11,891688.03,8,4,22597.0,122121.52000000002,15.9,4.1,4.3
F-04131,POP Ginger Chews Plus+ Lemon 3 oz,46925.0,35064.0,3923.5,38987.5,1412514.1099999999,756435.71,925012.74,11,4,11861.0,656078.3999999999,25.3,10.1,11.2
F-12402,Ferrero Rocher 24 Pcs Diamond,44492.0,44489.0,3789.0,48278.0,2307072.59,2306862.83,2527813.71,13,3,3.0,209.75999999977648,0.0,7.8,8.5
A-61220,AM GSG RT Tea 20 Bags,20662.0,20602.0,2563.5,23165.5,1238461.23,1236140.82,1486587.8800000001,28,4,60.0,2320.409999999916,0.3,11.1,12.4
D-17106,POP Pu-Erh Tea 1.8gx100 (6ct/cs),19762.0,19338.0,2363.5,21701.5,317663.0,310647.22,350336.06,16,4,424.0,7015.780000000028,2.1,10.9,12.2
F-20141,Ferrero Coll. 24 pcs (w/Hazelnut)#20148,23309.0,23289.0,2164.5,25453.5,1216085.25,1214821.45,1337935.22,17,3,20.0,1263.8000000000466,0.1,8.5,9.3
T-47010,Kwan Loong Oil 2 fl oz,25721.0,25705.0,2029.5,27734.5,5515509.09,5512061.84,6064545.64,7,3,16.0,3447.25,0.1,7.3,7.9
F-04112,POP Ginger Chews Lemon 4 oz (12ct/cs),519910.0,447374.0,1910.5,449284.5,4674928.15,3929535.89,3952666.24,7,4,72536.0,745392.2600000002,14.0,0.4,0.4
T-32300,Tiger Balm Patch - Large,39367.0,24895.0,1800.0,26695.0,4232048.67,3144465.36,3321901.83,14,3,14472.0,1087583.31,36.8,6.7,7.2
D-18206,POP OG White Tea 1.8gx100 (6ct/cs),24452.0,17988.0,1582.5,19570.5,470296.99,345586.39,376521.25,16,4,6464.0,124710.59999999998,26.4,8.1,8.8
A-61234,AM GSG RT/Green Tea 30 Bags,984.0,984.0,1474.5,2458.5,17709.760000000002,17709.760000000002,395065.07,19,3,0.0,0.0,0.0,60.0,149.8
A-61150,AM GSG Candy 6 oz Bag,55810.0,55797.0,1431.5,57228.5,1904627.78,1903505.07,1919389.45,14,4,13.0,1122.7099999999627,0.0,2.5,2.6
D-13206,POP OG Green Tea 1.8gx100 (6ct/cs),35987.0,26773.0,1412.5,28185.5,720317.51,540619.53,569426.93,14,4,9214.0,179697.97999999998,25.6,5.0,5.3
