month,month_start,ITEMNMBR,ITEMDESC,LOCNCODE,LOCATION_NAME,raw_units,raw_revenue,organic_units,organic_revenue,promo_units,promo_revenue,within_active_span,baseline_units,prev_raw_units,next_raw_units,est_unit_price,zero_sales_gap,deep_drop_gap,likely_stockout,stockout_reason,suppressed_units_est,cleaned_units,cleaned_revenue_est
2023-06,2023-06-01,A-61012,Wild AM GSG Instant Tea 3gx10x8,1,SF,167.0,27412.75,167.0,27412.75,0.0,0.0,True,463.0,385.0,541.0,164.14820359281438,False,True,True,deep_drop_gap,296.0,463.0,76000.62
2025-03,2025-03-01,A-61012,Wild AM GSG Instant Tea 3gx10x8,1,SF,63.0,11490.14,63.0,11490.14,0.0,0.0,True,225.5,192.0,318.0,182.38317460317458,False,True,True,deep_drop_gap,162.5,225.5,41127.41
2025-09,2025-09-01,A-61012,Wild AM GSG Instant Tea 3gx10x8,1,SF,94.0,18014.82,94.0,18014.82,0.0,0.0,True,266.0,111.0,377.0,191.64702127659575,False,True,True,deep_drop_gap,172.0,266.0,50978.11
2024-02,2024-02-01,A-61012,Wild AM GSG Instant Tea 3gx10x8,3,LA,61.0,14608.869999999999,61.0,14608.869999999999,0.0,0.0,True,160.0,257.0,95.0,239.48967213114753,False,True,True,deep_drop_gap,99.0,160.0,38318.35
2025-09,2025-09-01,A-61012,Wild AM GSG Instant Tea 3gx10x8,3,LA,48.0,11733.25,48.0,11733.25,0.0,0.0,True,169.0,49.0,289.0,244.44270833333334,False,True,True,deep_drop_gap,121.0,169.0,41310.82
2024-02,2024-02-01,A-61012,Wild AM GSG Instant Tea 3gx10x8,E1,UNMAPPED,0.0,0.0,0.0,0.0,0.0,0.0,True,21.0,21.0,0.0,29.285714285714285,True,False,True,zero_sales_gap,21.0,21.0,615.0
2024-03,2024-03-01,A-61012,Wild AM GSG Instant Tea 3gx10x8,E1,UNMAPPED,0.0,0.0,0.0,0.0,0.0,0.0,True,21.0,0.0,0.0,29.285714285714285,True,False,True,zero_sales_gap,21.0,21.0,615.0
2024-10,2024-10-01,A-61012,Wild AM GSG Instant Tea 3gx10x8,E1,UNMAPPED,0.0,0.0,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,29.285714285714285,True,False,True,zero_sales_gap,1.0,1.0,29.29
2024-11,2024-11-01,A-61012,Wild AM GSG Instant Tea 3gx10x8,E1,UNMAPPED,0.0,0.0,0.0,0.0,0.0,0.0,True,4.0,0.0,1.0,29.285714285714285,True,False,True,zero_sales_gap,4.0,4.0,117.14
2025-01,2025-01-01,A-61012,Wild AM GSG Instant Tea 3gx10x8,E1,UNMAPPED,7.0,247.09,7.0,247.09,0.0,0.0,True,24.0,1.0,26.0,35.29857142857143,False,True,True,deep_drop_gap,17.0,24.0,847.17
2023-04,2023-04-01,A-61117,AM GSG Candy 1 lb / Bag,1,SF,109.0,6446.42,109.0,6446.42,0.0,0.0,True,287.5,299.0,386.0,59.141467889908256,False,True,True,deep_drop_gap,178.5,287.5,17003.17
2024-08,2024-08-01,A-61117,AM GSG Candy 1 lb / Bag,1,SF,95.0,8129.32,95.0,8129.32,0.0,0.0,True,244.0,248.0,160.0,85.5717894736842,False,True,True,deep_drop_gap,149.0,244.0,20879.52
2023-04,2023-04-01,A-61117,AM GSG Candy 1 lb / Bag,2,NJ,18.0,2117.31,18.0,2117.31,0.0,0.0,True,237.0,270.0,204.0,117.62833333333333,False,True,True,deep_drop_gap,219.0,237.0,27877.92
2024-11,2024-11-01,A-61117,AM GSG Candy 1 lb / Bag,3,LA,35.0,5036.6,35.0,5036.6,0.0,0.0,True,92.5,124.0,63.0,143.90285714285716,False,True,True,deep_drop_gap,57.5,92.5,13311.01
2024-03,2024-03-01,A-61117,AM GSG Candy 1 lb / Bag,E1,UNMAPPED,0.0,0.0,0.0,0.0,0.0,0.0,True,34.0,8.0,0.0,10.015,True,False,True,zero_sales_gap,34.0,34.0,340.51
2024-04,2024-04-01,A-61117,AM GSG Candy 1 lb / Bag,E1,UNMAPPED,0.0,0.0,0.0,0.0,0.0,0.0,True,8.0,0.0,0.0,10.015,True,False,True,zero_sales_gap,8.0,8.0,80.12
2024-10,2024-10-01,A-61117,AM GSG Candy 1 lb / Bag,E1,UNMAPPED,0.0,0.0,0.0,0.0,0.0,0.0,True,4.0,0.0,0.0,10.015,True,False,True,zero_sales_gap,4.0,4.0,40.06
2024-11,2024-11-01,A-61117,AM GSG Candy 1 lb / Bag,E1,UNMAPPED,0.0,0.0,0.0,0.0,0.0,0.0,True,6.0,0.0,4.0,10.015,True,False,True,zero_sales_gap,6.0,6.0,60.09
2025-06,2025-06-01,A-61117,AM GSG Candy 1 lb / Bag,E1,UNMAPPED,0.0,0.0,0.0,0.0,0.0,0.0,True,5.0,40.0,1.0,8.76275,True,False,True,zero_sales_gap,5.0,5.0,43.81
2025-09,2025-09-01,A-61117,AM GSG Candy 1 lb / Bag,E1,UNMAPPED,0.0,0.0,0.0,0.0,0.0,0.0,True,1.0,1.0,0.0,14.08,True,False,True,zero_sales_gap,1.0,1.0,14.08
